sample.number,genet,sampleID,source,date.collected,nursery,species,disease.status,percent.dead,percent.diseased,Notes
1,MC14,MC_001,FWC,5/3/2021,in situ,MCAV,0,0,0,
2,MC35,MC_002,FWC,5/3/2021,in situ,MCAV,1,0,0.25,
3,MC16,MC_003,FWC,5/3/2021,in situ,MCAV,0,0,0,
4,MC6,MC_004,UM,5/3/2021,in situ,MCAV,0,0.375,0,
5,MC20,MC_005,FWC,5/3/2021,in situ,MCAV,1,0,0.285714286,
6,MC13,MC_006,FWC,5/3/2021,in situ,MCAV,0,0,0,
6,MC13,MC_006.2,FWC,5/3/2021,in situ,MCAV,0,0,0,
6,MC13,MC_006.3,FWC,5/3/2021,in situ,MCAV,0,0,0,
7,MC19,MC_007,FWC,5/3/2021,in situ,MCAV,1,0,0.285714286,
8,MC5,MC_008,UM,5/3/2021,in situ,MCAV,1,0.105263158,0.052631579,
9,MC1,MC_009,UM,5/3/2021,in situ,MCAV,1,0,0.041666667,
10,MC21,MC_010,FWC,5/3/2021,in situ,MCAV,1,0,0.142857143,
11,MC2,MC_011,UM,5/3/2021,in situ,MCAV,1,0.294117647,0.411764706,
12,MC4,MC_012,UM,5/3/2021,in situ,MCAV,1,0.352941176,0.117647059,
13,MC27,MC_013,FWC,5/3/2021,in situ,MCAV,0,0.25,0,
14,MC4,MC_014,MOTE,5/3/2021,in situ,MCAV,1,0.083333333,0.083333333,
15,MC1,MC_015,MOTE,5/3/2021,in situ,MCAV,0,0,0,
16,MC11,MC_016,MOTE,5/3/2021,in situ,MCAV,1,0.166666667,0.166666667,
17,MC33,MC_017,MOTE,5/3/2021,in situ,MCAV,1,0,0.166666667,
18,OF14,OF_001,CRF,5/3/2021,in situ,OFAV,1,0.055555556,0.25,
19,OF36,OF_002,CRF,5/3/2021,in situ,OFAV,1,0.029411765,0.117647059,Is actually OFAV34
20,OF20,OF_003,FWC,5/3/2021,in situ,OFAV,1,0,0.142857143,
21,OF93,OF_004RX,RR,5/3/2021,in situ,OFAV,1,0.083333333,0.125,
22,OF2 ,OF_005,FWC,5/3/2021,in situ,OFAV,1,0.125,0.125,
23,OF50,OF_006RX,RR,5/3/2021,in situ,OFAV,1,0.058823529,0.176470588,
24,OF51,OF_007,RR,5/3/2021,in situ,OFAV,1,0.05,0.15,
25,OF2,OF_008R,UM,5/3/2021,in situ,OFAV,0,0,0,
26,OF33,OF_009R,CRF,5/3/2021,in situ,OFAV,1,0.227272727,0.136363636,
26,OF33,OF_009R.2,CRF,5/3/2021,in situ,OFAV,1,0.227272727,0.136363636,
26,OF33,OF_009R.3,CRF,5/3/2021,in situ,OFAV,1,0.227272727,0.136363636,
27,OF22,OF_010R,FWC,5/3/2021,in situ,OFAV,1,0,0.166666667,
28,OF26(39),OF_011R,CRF,5/3/2021,in situ,OFAV,1,0.21875,0.1875,
29,OF19(36),OF_012R,CRF,5/3/2021,in situ,OFAV,1,0.264705882,0.147058824,Is actually OFAV36
30,OF3,OF_013R,UM,5/3/2021,in situ,OFAV,1,0,0.272727273,
31,OF52,OF_014RX,RR,5/3/2021,in situ,OFAV,1,0.096774194,0.161290323,
32,OF7,OF_015R,CRF,5/3/2021,in situ,OFAV,1,0.277777778,0.111111111,
33,OF1,OF_016R,UM,5/3/2021,in situ,OFAV,1,0.25,0.25,
34,OF575,OF_017RX,MOTE,5/3/2021,ex situ,OFAV,1,0.333333333,0.666666667,OF57 is actually OF575
35,OF32,OF_018RX,MOTE,5/3/2021,in situ,OFAV,1,0,0.285714286,
36,OF36,OF_019RX,MOTE,5/3/2021,in situ,OFAV,1,0,0.75,
37,OF11T,OF_020R,MOTE,5/3/2021,in situ,OFAV,0,0,0,
38,OF3,OF_021R,MOTE,5/3/2021,in situ,OFAV,1,0,0.285714286,
39,OF125,OF_022,MOTE,5/3/2021,in situ,OFAV,1,0.181818182,0.090909091,
40,OF126T,OF_023RX,MOTE,5/3/2021,in situ,OFAV,0,0,0,
41,OF27,OF_024R,MOTE,5/3/2021,in situ,OFAV,1,0.166666667,0.083333333,
42,OF8,OF_025,MOTE,5/3/2021,in situ,OFAV,0,0.5,0,
43,OF483,OF_026R,MOTE,5/3/2021,ex situ,OFAV,1,0.2,0.4,
44,OF61,OF_027RX,MOTE,5/3/2021,in situ,OFAV,0,0,0,
45,OF1,OF_028RX,MOTE,5/3/2021,in situ,OFAV,1,0,0.071428571,
46,OF132T,OF_029R,MOTE,5/3/2021,in situ,OFAV,0,0,0,
47,OF127,OF_030R,MOTE,5/3/2021,in situ,OFAV,0,0,0,
48,OF227T,OF_031,MOTE,5/3/2021,ex situ,OFAV,1,0.333333333,0.333333333,
49,PC28,PC_001RX,FWC,5/3/2021,in situ,PCLI,1,0,0.5,
50,PC17,PC_002,FWC,5/3/2021,in situ,PCLI,1,0.142857143,0.142857143,
51,PC23,PC_003,FWC,5/3/2021,in situ,PCLI,1,0.125,0.25,
52,PC1 ,PC_004,FWC,5/3/2021,in situ,PCLI,0,0,0,
53,PC21,PC_005,FWC,5/3/2021,in situ,PCLI,0,0,0,
54,PC10,PC_006,FWC,5/3/2021,in situ,PCLI,1,0.2,0.2,
55,PC5,PC_007,UM,5/3/2021,in situ,PCLI,0,0.166666667,0,
56,PC24,PC_008,FWC,5/3/2021,in situ,PCLI,0,0,0,
57,PC2,PC_009,FWC,5/3/2021,in situ,PCLI,0,0,0,
58,PC6,PC_010,UM,5/3/2021,in situ,PCLI,1,0.133333333,0.066666667,
59,PC26,PC_011,FWC,5/3/2021,in situ,PCLI,1,0,0.25,
60,PC29,PC_012,FWC,5/3/2021,in situ,PCLI,0,0,0,
61,PC11,PC_013,FWC,5/3/2021,in situ,PCLI,1,0.166666667,0.5,
62,PC18,PC_014,FWC,5/3/2021,in situ,PCLI,1,0,0.142857143,
63,PC27,PC_015RX,FWC,5/3/2021,in situ,PCLI,1,0,0.2,
64,PC3,PC_016,RR,5/3/2021,in situ,PCLI,1,0.125,0.0625,
65,PC13,PC_017,RR,5/3/2021,in situ,PCLI,1,0.227272727,0.136363636,
66,PC4,PC_018,UM,5/3/2021,in situ,PCLI,0,0.333333333,0,
67,PC2,PC_019,UM,5/3/2021,in situ,PCLI,1,0.307692308,0.230769231,
68,PC3,PC_020,UM,5/3/2021,in situ,PCLI,0,0.111111111,0,
69,PC25,PC_021,FWC,5/3/2021,in situ,PCLI,1,0,0.333333333,
70,PC14,PC_022,RR,5/3/2021,in situ,PCLI,0,0.076923077,0,
71,PC15,PC_023,RR,5/3/2021,in situ,PCLI,1,0.153846154,0.076923077,
72,PC1,PC_024,UM,5/3/2021,in situ,PCLI,1,0,0.222222222,
72,PC1,PC_024.2,UM,5/3/2021,in situ,PCLI,1,0,0.222222222,
72,PC1,PC_024.3,UM,5/5/2021,in situ,PCLI,1,0,0.222222222,
73,PC1,PC_025,MOTE,5/3/2021,in situ,PCLI,1,0.75,0.166666667,
74,PC12,PC_026,MOTE,5/3/2021,in situ,PCLI,0,0.409090909,0,
75,PC17,PC_027,MOTE,5/3/2021,in situ,PCLI,1,0.3,0.1,
